item,subject,condition,semantic,RT
ma-ma.10,21,ma-ma,1,934
ma-ma.10,22,ma-ma,1,553
ma-ma.10,23,ma-ma,1,901
ma-ma.10,24,ma-ma,1,623.9
ma-ma.10,25,ma-ma,1,523
ma-ma.10,26,ma-ma,1,196
ma-ma.10,27,ma-ma,1,278
ma-ma.10,28,ma-ma,1,513
ma-ma.10,29,ma-ma,1,278
ma-ma.10,30,ma-ma,1,298
ma-ma.10,31,ma-ma,1,591
ma-ma.10,32,ma-ma,1,714
ma-ma.10,33,ma-ma,1,264
ma-ma.10,34,ma-ma,1,151
ma-ma.10,35,ma-ma,1,53
ma-ma.10,36,ma-ma,1,146
ma-ma.10,37,ma-ma,1,166
ma-ma.11,1,ma-ma,1,453
ma-ma.11,2,ma-ma,1,259
ma-ma.11,3,ma-ma,1,0
ma-ma.11,4,ma-ma,1,332.5
ma-ma.11,5,ma-ma,1,308
ma-ma.11,6,ma-ma,1,626
ma-ma.11,7,ma-ma,1,151
ma-ma.11,8,ma-ma,1,156
ma-ma.11,9,ma-ma,1,88
ma-ma.11,10,ma-ma,1,185
ma-ma.11,11,ma-ma,1,577
ma-ma.11,12,ma-ma,1,156
ma-ma.11,13,ma-ma,1,503
ma-ma.11,14,ma-ma,1,718.9
ma-ma.11,16,ma-ma,1,298
ma-ma.11,17,ma-ma,1,58
ma-ma.11,18,ma-ma,1,439
ma-ma.11,19,ma-ma,1,102
ma-ma.11,20,ma-ma,1,224
ma-ma.11,21,ma-ma,1,269
ma-ma.11,22,ma-ma,1,256
ma-ma.11,23,ma-ma,1,603.9
ma-ma.11,24,ma-ma,1,714.5
ma-ma.11,25,ma-ma,1,161
ma-ma.11,26,ma-ma,1,181.5
ma-ma.11,28,ma-ma,1,469
ma-ma.11,29,ma-ma,1,268
ma-ma.11,30,ma-ma,1,156
ma-ma.11,31,ma-ma,1,963.3
ma-ma.11,33,ma-ma,1,200
ma-ma.11,34,ma-ma,1,161
ma-ma.11,35,ma-ma,1,73
ma-ma.11,36,ma-ma,1,156
ma-ma.11,37,ma-ma,1,342
ma-ma.12,1,ma-ma,1,156
ma-ma.12,2,ma-ma,1,0
ma-ma.12,3,ma-ma,1,176
ma-ma.12,4,ma-ma,1,322
ma-ma.12,5,ma-ma,1,391
ma-ma.12,6,ma-ma,1,161
ma-ma.12,7,ma-ma,1,180
ma-ma.12,8,ma-ma,1,293
ma-ma.12,9,ma-ma,1,151
ma-ma.12,10,ma-ma,1,195
ma-ma.12,11,ma-ma,1,302
ma-ma.12,12,ma-ma,1,480
ma-ma.12,13,ma-ma,1,357
ma-ma.12,14,ma-ma,1,503.8
ma-ma.12,15,ma-ma,1,156
ma-ma.12,16,ma-ma,1,298
ma-ma.12,17,ma-ma,1,127
ma-ma.12,18,ma-ma,1,577
ma-ma.12,19,ma-ma,1,273
ma-ma.12,20,ma-ma,1,210
ma-ma.12,21,ma-ma,1,308
ma-ma.12,22,ma-ma,1,297
ma-ma.12,23,ma-ma,1,1142.8
ma-ma.12,24,ma-ma,1,221
ma-ma.12,25,ma-ma,1,271
ma-ma.12,26,ma-ma,1,477.9
ma-ma.12,27,ma-ma,1,127
ma-ma.12,28,ma-ma,1,557
ma-ma.12,29,ma-ma,1,464
ma-ma.12,30,ma-ma,1,332
ma-ma.12,31,ma-ma,1,259
ma-ma.12,32,ma-ma,1,841.1
ma-ma.12,33,ma-ma,1,298
ma-ma.12,34,ma-ma,1,97
ma-ma.12,35,ma-ma,1,112
ma-ma.12,36,ma-ma,1,0
ma-ma.12,37,ma-ma,1,176
ma-nma.01,1,ma-nma,1,909.8
ma-nma.01,2,ma-nma,1,141.9
ma-nma.01,3,ma-nma,1,58
ma-nma.01,4,ma-nma,1,239
ma-nma.01,5,ma-nma,1,215
ma-nma.01,6,ma-nma,1,161
ma-nma.01,7,ma-nma,1,161
ma-nma.01,8,ma-nma,1,220
ma-nma.01,9,ma-nma,1,166
ma-nma.01,10,ma-nma,1,322
ma-nma.01,11,ma-nma,1,391
ma-nma.01,12,ma-nma,1,313
ma-nma.01,13,ma-nma,1,342
ma-nma.01,14,ma-nma,1,411
ma-nma.01,15,ma-nma,1,185
ma-nma.01,16,ma-nma,1,249
ma-nma.01,17,ma-nma,1,200
ma-nma.01,18,ma-nma,1,249
ma-nma.01,19,ma-nma,1,136
ma-nma.01,20,ma-nma,1,577
ma-nma.01,21,ma-nma,1,303
ma-nma.01,22,ma-nma,1,216
ma-nma.01,23,ma-nma,1,397
ma-nma.01,24,ma-nma,1,297
ma-nma.01,25,ma-nma,1,141
ma-nma.01,26,ma-nma,1,256
ma-nma.01,27,ma-nma,1,132
ma-nma.01,28,ma-nma,1,342.7
ma-nma.01,29,ma-nma,1,176
ma-nma.01,30,ma-nma,1,312
ma-nma.01,31,ma-nma,1,327
ma-nma.01,32,ma-nma,1,245
ma-nma.01,33,ma-nma,1,395
ma-nma.01,34,ma-nma,1,176
ma-nma.01,35,ma-nma,1,205
ma-nma.01,36,ma-nma,1,127
ma-nma.01,37,ma-nma,1,254
ma-nma.02,1,ma-nma,1,604.1
ma-nma.02,2,ma-nma,1,190
ma-nma.02,3,ma-nma,1,297
ma-nma.02,4,ma-nma,1,542.5
ma-nma.02,5,ma-nma,1,435
ma-nma.02,6,ma-nma,1,283
ma-nma.02,7,ma-nma,1,102
ma-nma.02,8,ma-nma,1,337
ma-nma.02,9,ma-nma,1,136
ma-nma.02,10,ma-nma,1,376
ma-nma.02,11,ma-nma,1,146
ma-nma.02,12,ma-nma,1,200
ma-nma.02,13,ma-nma,1,357
ma-nma.02,14,ma-nma,1,489.1
ma-nma.02,15,ma-nma,1,748
ma-nma.02,16,ma-nma,1,229
ma-nma.02,17,ma-nma,1,396
ma-nma.02,18,ma-nma,1,254
ma-nma.02,19,ma-nma,1,127
ma-nma.02,20,ma-nma,1,889.4
ma-nma.02,21,ma-nma,1,278
ma-nma.02,22,ma-nma,1,286
ma-nma.02,23,ma-nma,1,352
ma-nma.02,24,ma-nma,1,734.7
ma-nma.02,25,ma-nma,1,130
ma-nma.02,26,ma-nma,1,296
ma-nma.02,27,ma-nma,1,723
ma-nma.02,28,ma-nma,1,552
ma-nma.02,29,ma-nma,1,621.3
ma-nma.02,30,ma-nma,1,146
ma-nma.02,31,ma-nma,1,234
ma-nma.02,32,ma-nma,1,620.9
ma-nma.02,33,ma-nma,1,303
ma-nma.02,34,ma-nma,1,146
ma-nma.02,35,ma-nma,1,132
ma-nma.02,36,ma-nma,1,171
ma-nma.02,37,ma-nma,1,308
ma-nma.03,1,ma-nma,1,584
ma-nma.03,2,ma-nma,1,166
ma-nma.03,3,ma-nma,1,97
ma-nma.03,4,ma-nma,1,289.1
ma-nma.03,5,ma-nma,1,479
ma-nma.03,7,ma-nma,1,73
ma-nma.03,8,ma-nma,1,308
ma-nma.03,9,ma-nma,1,151
ma-nma.03,10,ma-nma,1,200
ma-nma.03,11,ma-nma,1,987.7
ma-nma.03,12,ma-nma,1,673
ma-nma.03,13,ma-nma,1,176
ma-nma.03,14,ma-nma,1,753.7
ma-nma.03,15,ma-nma,1,621
ma-nma.03,16,ma-nma,1,321
ma-nma.03,17,ma-nma,1,122
ma-nma.03,18,ma-nma,1,73
ma-nma.03,19,ma-nma,1,117
ma-nma.03,20,ma-nma,1,1016.3
ma-nma.03,21,ma-nma,1,767
ma-nma.03,22,ma-nma,1,422.9
ma-nma.03,23,ma-nma,1,332
ma-nma.03,24,ma-nma,1,266
ma-nma.03,25,ma-nma,1,136
ma-nma.03,26,ma-nma,1,206
ma-nma.03,27,ma-nma,1,117
ma-nma.03,28,ma-nma,1,586.9
ma-nma.03,29,ma-nma,1,190
ma-nma.03,30,ma-nma,1,146
ma-nma.03,31,ma-nma,1,161
ma-nma.03,33,ma-nma,1,396
ma-nma.03,34,ma-nma,1,146
ma-nma.03,35,ma-nma,1,484.1
ma-nma.03,36,ma-nma,1,156
ma-nma.03,37,ma-nma,1,200
ma-nma.04,1,ma-nma,1,150.9
ma-nma.04,2,ma-nma,1,0
ma-nma.04,3,ma-nma,1,0
ma-nma.04,4,ma-nma,1,234
ma-nma.04,5,ma-nma,1,220
ma-nma.04,6,ma-nma,1,606.4
ma-nma.04,7,ma-nma,1,234
ma-nma.04,8,ma-nma,1,376
ma-nma.04,9,ma-nma,1,195
ma-nma.04,10,ma-nma,1,190
ma-nma.04,11,ma-nma,1,430
ma-nma.04,12,ma-nma,1,528
ma-nma.04,14,ma-nma,1,650.4
ma-nma.04,15,ma-nma,1,225
ma-nma.04,16,ma-nma,1,826.4
ma-nma.04,17,ma-nma,1,0
ma-nma.04,18,ma-nma,1,675
ma-nma.04,19,ma-nma,1,68
ma-nma.04,20,ma-nma,1,586
ma-nma.04,21,ma-nma,1,278
ma-nma.04,22,ma-nma,1,216
ma-nma.04,23,ma-nma,1,508
ma-nma.04,24,ma-nma,1,226
ma-nma.04,25,ma-nma,1,171
ma-nma.04,26,ma-nma,1,1087.7
ma-nma.04,27,ma-nma,1,132
ma-nma.04,28,ma-nma,1,422
ma-nma.04,29,ma-nma,1,303
ma-nma.04,30,ma-nma,1,356
ma-nma.04,31,ma-nma,1,528.3
ma-nma.04,32,ma-nma,1,606
