item,subject,semantic,condition,RT
ma-ma.09,24,1,ma-ma,322
ma-ma.09,26,1,ma-ma,287
ma-ma.09,27,1,ma-ma,601.4
ma-ma.09,28,1,ma-ma,161
ma-ma.09,29,1,ma-ma,78
ma-ma.09,30,1,ma-ma,0
ma-ma.09,31,1,ma-ma,73
ma-ma.09,32,1,ma-ma,904.5
ma-ma.09,33,1,ma-ma,137
ma-ma.09,34,1,ma-ma,0
ma-ma.09,35,1,ma-ma,704.6
ma-ma.09,36,1,ma-ma,0
ma-ma.09,37,1,ma-ma,0
ma-ma.10,1,1,ma-ma,568.7
ma-ma.10,2,1,ma-ma,132
ma-ma.10,3,1,ma-ma,513
ma-ma.10,4,1,ma-ma,0
ma-ma.10,5,1,ma-ma,63
ma-ma.10,6,1,ma-ma,122
ma-ma.10,7,1,ma-ma,180
ma-ma.10,8,1,ma-ma,738
ma-ma.10,9,1,ma-ma,249
ma-ma.10,10,1,ma-ma,298
ma-ma.10,11,1,ma-ma,292
ma-ma.10,12,1,ma-ma,225
ma-ma.10,13,1,ma-ma,122
ma-ma.10,14,1,ma-ma,410
ma-ma.10,15,1,ma-ma,298.1
ma-ma.10,16,1,ma-ma,127
ma-ma.10,17,1,ma-ma,0
ma-ma.10,18,1,ma-ma,146
ma-ma.10,19,1,ma-ma,127
ma-ma.10,20,1,ma-ma,890
ma-ma.10,21,1,ma-ma,400
ma-ma.10,22,1,ma-ma,166
ma-ma.10,23,1,ma-ma,0
ma-ma.10,24,1,ma-ma,151
ma-ma.10,26,1,ma-ma,1047.1
ma-ma.10,27,1,ma-ma,0
ma-ma.10,28,1,ma-ma,0
ma-ma.10,29,1,ma-ma,0
ma-ma.10,30,1,ma-ma,146
ma-ma.10,31,1,ma-ma,508
ma-ma.10,32,1,ma-ma,0
ma-ma.10,33,1,ma-ma,249
ma-ma.10,34,1,ma-ma,141
ma-ma.10,35,1,ma-ma,674.9
ma-ma.10,36,1,ma-ma,0
ma-ma.10,37,1,ma-ma,0
ma-ma.11,1,1,ma-ma,715.6
ma-ma.11,2,1,ma-ma,195
ma-ma.11,3,1,ma-ma,0
ma-ma.11,4,1,ma-ma,63
ma-ma.11,5,1,ma-ma,0
ma-ma.11,6,1,ma-ma,170
ma-ma.11,7,1,ma-ma,0
ma-ma.11,8,1,ma-ma,293
ma-ma.11,9,1,ma-ma,0
ma-ma.11,10,1,ma-ma,508.5
ma-ma.11,11,1,ma-ma,0
ma-ma.11,12,1,ma-ma,166
ma-ma.11,13,1,ma-ma,58
ma-ma.11,14,1,ma-ma,132
ma-ma.11,15,1,ma-ma,122
ma-ma.11,16,1,ma-ma,112
ma-ma.11,17,1,ma-ma,234
ma-ma.11,18,1,ma-ma,0
ma-ma.11,19,1,ma-ma,0
ma-ma.11,20,1,ma-ma,210
ma-ma.11,21,1,ma-ma,0
ma-ma.11,22,1,ma-ma,166
ma-ma.11,23,1,ma-ma,191
ma-ma.11,24,1,ma-ma,624
ma-ma.11,25,1,ma-ma,553.7
ma-ma.11,26,1,ma-ma,920.9
ma-ma.11,27,1,ma-ma,850.9
ma-ma.11,28,1,ma-ma,73
ma-ma.11,29,1,ma-ma,205
ma-ma.11,30,1,ma-ma,0
ma-ma.11,31,1,ma-ma,263.3
ma-ma.11,32,1,ma-ma,244
ma-ma.11,33,1,ma-ma,0
ma-ma.11,34,1,ma-ma,0
ma-ma.11,35,1,ma-ma,278
ma-ma.11,36,1,ma-ma,146
ma-ma.11,37,1,ma-ma,0
ma-ma.12,1,1,ma-ma,1142.8
ma-ma.12,2,1,ma-ma,185
ma-ma.12,3,1,ma-ma,180
ma-ma.12,4,1,ma-ma,97
ma-ma.12,5,1,ma-ma,146
ma-ma.12,6,1,ma-ma,1091.4
ma-ma.12,7,1,ma-ma,269
ma-ma.12,8,1,ma-ma,132
ma-ma.12,9,1,ma-ma,195
ma-ma.12,10,1,ma-ma,215.1
ma-ma.12,11,1,ma-ma,718.8
ma-ma.12,12,1,ma-ma,440
ma-ma.12,13,1,ma-ma,181
ma-ma.12,14,1,ma-ma,254
ma-ma.12,15,1,ma-ma,312
ma-ma.12,16,1,ma-ma,166
ma-ma.12,17,1,ma-ma,0
ma-ma.12,18,1,ma-ma,180
ma-ma.12,19,1,ma-ma,132
ma-ma.12,20,1,ma-ma,0
ma-ma.12,21,1,ma-ma,132
ma-ma.12,22,1,ma-ma,156
ma-ma.12,23,1,ma-ma,0
ma-ma.12,24,1,ma-ma,100
ma-ma.12,25,1,ma-ma,307
ma-ma.12,26,1,ma-ma,312
ma-ma.12,27,1,ma-ma,337
ma-ma.12,28,1,ma-ma,0
ma-ma.12,29,1,ma-ma,107
ma-ma.12,30,1,ma-ma,151
ma-ma.12,31,1,ma-ma,200
ma-ma.12,32,1,ma-ma,376.6
ma-ma.12,33,1,ma-ma,899.9
ma-ma.12,34,1,ma-ma,161
ma-ma.12,35,1,ma-ma,161
ma-ma.12,36,1,ma-ma,0
ma-ma.12,37,1,ma-ma,0
ma-nma.01,1,1,ma-nma,614.2
ma-nma.01,3,1,ma-nma,68
ma-nma.01,4,1,ma-nma,176
ma-nma.01,5,1,ma-nma,83
ma-nma.01,6,1,ma-nma,0
ma-nma.01,7,1,ma-nma,132
ma-nma.01,8,1,ma-nma,611
ma-nma.01,9,1,ma-nma,836.4
ma-nma.01,10,1,ma-nma,205
ma-nma.01,11,1,ma-nma,0
ma-nma.01,12,1,ma-nma,0
ma-nma.01,13,1,ma-nma,127
ma-nma.01,14,1,ma-nma,180
ma-nma.01,15,1,ma-nma,1086
ma-nma.01,16,1,ma-nma,146
ma-nma.01,17,1,ma-nma,0
ma-nma.01,18,1,ma-nma,215
ma-nma.01,19,1,ma-nma,92
ma-nma.01,20,1,ma-nma,0
ma-nma.01,21,1,ma-nma,0
ma-nma.01,22,1,ma-nma,181
ma-nma.01,23,1,ma-nma,563
ma-nma.01,24,1,ma-nma,120
ma-nma.01,25,1,ma-nma,151
ma-nma.01,26,1,ma-nma,201
ma-nma.01,27,1,ma-nma,141
ma-nma.01,28,1,ma-nma,176
ma-nma.01,29,1,ma-nma,342
ma-nma.01,30,1,ma-nma,127
ma-nma.01,31,1,ma-nma,861.2
ma-nma.01,32,1,ma-nma,161
ma-nma.01,33,1,ma-nma,361
ma-nma.01,34,1,ma-nma,0
ma-nma.01,35,1,ma-nma,288
ma-nma.01,36,1,ma-nma,171
ma-nma.01,37,1,ma-nma,0
ma-nma.02,1,1,ma-nma,538.5
ma-nma.02,2,1,ma-nma,244
ma-nma.02,3,1,ma-nma,127
ma-nma.02,4,1,ma-nma,117
ma-nma.02,5,1,ma-nma,117
ma-nma.02,6,1,ma-nma,0
ma-nma.02,7,1,ma-nma,0
ma-nma.02,8,1,ma-nma,205
ma-nma.02,9,1,ma-nma,327
ma-nma.02,10,1,ma-nma,141
ma-nma.02,11,1,ma-nma,151
ma-nma.02,12,1,ma-nma,195
ma-nma.02,13,1,ma-nma,136
ma-nma.02,14,1,ma-nma,0
ma-nma.02,16,1,ma-nma,180
ma-nma.02,17,1,ma-nma,68
ma-nma.02,18,1,ma-nma,0
ma-nma.02,19,1,ma-nma,0
ma-nma.02,20,1,ma-nma,92
ma-nma.02,21,1,ma-nma,400.9
ma-nma.02,22,1,ma-nma,0
ma-nma.02,23,1,ma-nma,60
ma-nma.02,24,1,ma-nma,231
ma-nma.02,25,1,ma-nma,0
ma-nma.02,26,1,ma-nma,156
ma-nma.02,27,1,ma-nma,816.7
ma-nma.02,28,1,ma-nma,0
ma-nma.02,29,1,ma-nma,151
ma-nma.02,30,1,ma-nma,0
ma-nma.02,31,1,ma-nma,68
ma-nma.02,32,1,ma-nma,234.7
ma-nma.02,33,1,ma-nma,205
ma-nma.02,34,1,ma-nma,0
ma-nma.02,35,1,ma-nma,0
ma-nma.02,36,1,ma-nma,122
ma-nma.02,37,1,ma-nma,0
ma-nma.03,1,1,ma-nma,146.1
ma-nma.03,2,1,ma-nma,0
ma-nma.03,3,1,ma-nma,127
ma-nma.03,4,1,ma-nma,0
ma-nma.03,5,1,ma-nma,83
ma-nma.03,6,1,ma-nma,0
ma-nma.03,7,1,ma-nma,195
ma-nma.03,8,1,ma-nma,376
ma-nma.03,9,1,ma-nma,234
ma-nma.03,10,1,ma-nma,239
ma-nma.03,11,1,ma-nma,0
ma-nma.03,12,1,ma-nma,132
ma-nma.03,13,1,ma-nma,112
ma-nma.03,14,1,ma-nma,528
ma-nma.03,15,1,ma-nma,195
ma-nma.03,16,1,ma-nma,146
ma-nma.03,17,1,ma-nma,0
ma-nma.03,18,1,ma-nma,141
ma-nma.03,19,1,ma-nma,82
ma-nma.03,20,1,ma-nma,376
ma-nma.03,21,1,ma-nma,141
ma-nma.03,22,1,ma-nma,125
ma-nma.03,23,1,ma-nma,251
ma-nma.03,24,1,ma-nma,70
ma-nma.03,25,1,ma-nma,432
ma-nma.03,26,1,ma-nma,95
ma-nma.03,27,1,ma-nma,0
ma-nma.03,28,1,ma-nma,0
ma-nma.03,29,1,ma-nma,0
ma-nma.03,30,1,ma-nma,166
