Participant,Stimulus,condition,semantic,RT
P05,ma-ma.05.rtf,ma-ma,1,151
P06,ma-ma.05.rtf,ma-ma,1,132
P07,ma-ma.05.rtf,ma-ma,1,0
P08,ma-ma.05.rtf,ma-ma,1,215
P09,ma-ma.05.rtf,ma-ma,1,112
P10,ma-ma.05.rtf,ma-ma,1,127
P11,ma-ma.05.rtf,ma-ma,1,249
P12,ma-ma.05.rtf,ma-ma,1,58
P13,ma-ma.05.rtf,ma-ma,1,0
P14,ma-ma.05.rtf,ma-ma,1,269
P15,ma-ma.05.rtf,ma-ma,1,190
P16,ma-ma.05.rtf,ma-ma,1,709
P17,ma-ma.05.rtf,ma-ma,1,122
P18,ma-ma.05.rtf,ma-ma,1,259
P19,ma-ma.05.rtf,ma-ma,1,0
P20,ma-ma.05.rtf,ma-ma,1,415
P21,ma-ma.05.rtf,ma-ma,1,366
P22,ma-ma.05.rtf,ma-ma,1,216
P23,ma-ma.05.rtf,ma-ma,1,589
P24,ma-ma.05.rtf,ma-ma,1,105
P25,ma-ma.05.rtf,ma-ma,1,271
P26,ma-ma.05.rtf,ma-ma,1,151
P27,ma-ma.05.rtf,ma-ma,1,161
P28,ma-ma.05.rtf,ma-ma,1,171
P29,ma-ma.05.rtf,ma-ma,1,127
P30,ma-ma.05.rtf,ma-ma,1,166
P31,ma-ma.05.rtf,ma-ma,1,224
P32,ma-ma.05.rtf,ma-ma,1,112
P33,ma-ma.05.rtf,ma-ma,1,136
P34,ma-ma.05.rtf,ma-ma,1,288
P35,ma-ma.05.rtf,ma-ma,1,195
P36,ma-ma.05.rtf,ma-ma,1,53
P37,ma-ma.05.rtf,ma-ma,1,0
P01,ma-ma.06.rtf,ma-ma,1,216
P02,ma-ma.06.rtf,ma-ma,1,0
P03,ma-ma.06.rtf,ma-ma,1,0
P04,ma-ma.06.rtf,ma-ma,1,83
P05,ma-ma.06.rtf,ma-ma,1,127
P06,ma-ma.06.rtf,ma-ma,1,0
P07,ma-ma.06.rtf,ma-ma,1,166
P08,ma-ma.06.rtf,ma-ma,1,200
P09,ma-ma.06.rtf,ma-ma,1,288
P10,ma-ma.06.rtf,ma-ma,1,0
P11,ma-ma.06.rtf,ma-ma,1,0
P12,ma-ma.06.rtf,ma-ma,1,0
P13,ma-ma.06.rtf,ma-ma,1,0
P14,ma-ma.06.rtf,ma-ma,1,146
P15,ma-ma.06.rtf,ma-ma,1,136
P16,ma-ma.06.rtf,ma-ma,1,137
P17,ma-ma.06.rtf,ma-ma,1,0
P18,ma-ma.06.rtf,ma-ma,1,161
P19,ma-ma.06.rtf,ma-ma,1,0
P20,ma-ma.06.rtf,ma-ma,1,225
P21,ma-ma.06.rtf,ma-ma,1,0
P22,ma-ma.06.rtf,ma-ma,1,191
P23,ma-ma.06.rtf,ma-ma,1,196
P24,ma-ma.06.rtf,ma-ma,1,156
P25,ma-ma.06.rtf,ma-ma,1,156
P26,ma-ma.06.rtf,ma-ma,1,0
P27,ma-ma.06.rtf,ma-ma,1,273
P28,ma-ma.06.rtf,ma-ma,1,0
P29,ma-ma.06.rtf,ma-ma,1,0
P30,ma-ma.06.rtf,ma-ma,1,156
P31,ma-ma.06.rtf,ma-ma,1,146
P32,ma-ma.06.rtf,ma-ma,1,0
P33,ma-ma.06.rtf,ma-ma,1,234
P34,ma-ma.06.rtf,ma-ma,1,0
P35,ma-ma.06.rtf,ma-ma,1,117
P36,ma-ma.06.rtf,ma-ma,1,151
P37,ma-ma.06.rtf,ma-ma,1,0
P01,ma-ma.07.rtf,ma-ma,1,387
P02,ma-ma.07.rtf,ma-ma,1,0
P03,ma-ma.07.rtf,ma-ma,1,205
P04,ma-ma.07.rtf,ma-ma,1,0
P05,ma-ma.07.rtf,ma-ma,1,0
P06,ma-ma.07.rtf,ma-ma,1,0
P07,ma-ma.07.rtf,ma-ma,1,181
P08,ma-ma.07.rtf,ma-ma,1,97
P09,ma-ma.07.rtf,ma-ma,1,229
P10,ma-ma.07.rtf,ma-ma,1,141
P11,ma-ma.07.rtf,ma-ma,1,484
P12,ma-ma.07.rtf,ma-ma,1,136
P13,ma-ma.07.rtf,ma-ma,1,112
P14,ma-ma.07.rtf,ma-ma,1,0
P15,ma-ma.07.rtf,ma-ma,1,185
P16,ma-ma.07.rtf,ma-ma,1,342
P17,ma-ma.07.rtf,ma-ma,1,0
P18,ma-ma.07.rtf,ma-ma,1,0
