Participant,Stimulus,condition,parallel,semantic,RT
P25,ma-ma.05.rtf,ma-ma,2,1,432
P26,ma-ma.05.rtf,ma-ma,2,1,287
P27,ma-ma.05.rtf,ma-ma,2,1,166
P28,ma-ma.05.rtf,ma-ma,2,1,58
P29,ma-ma.05.rtf,ma-ma,2,1,117
P30,ma-ma.05.rtf,ma-ma,2,1,0
P31,ma-ma.05.rtf,ma-ma,2,1,141
P32,ma-ma.05.rtf,ma-ma,2,1,68
P33,ma-ma.05.rtf,ma-ma,2,1,136
P34,ma-ma.05.rtf,ma-ma,2,1,127
P35,ma-ma.05.rtf,ma-ma,2,1,68
P36,ma-ma.05.rtf,ma-ma,2,1,405
P37,ma-ma.05.rtf,ma-ma,2,1,268
P01,ma-ma.06.rtf,ma-ma,2,1,191
P02,ma-ma.06.rtf,ma-ma,2,1,0
P03,ma-ma.06.rtf,ma-ma,2,1,0
P04,ma-ma.06.rtf,ma-ma,2,1,136
P05,ma-ma.06.rtf,ma-ma,2,1,73
P06,ma-ma.06.rtf,ma-ma,2,1,195
P07,ma-ma.06.rtf,ma-ma,2,1,176
P08,ma-ma.06.rtf,ma-ma,2,1,308
P09,ma-ma.06.rtf,ma-ma,2,1,97
P10,ma-ma.06.rtf,ma-ma,2,1,0
P11,ma-ma.06.rtf,ma-ma,2,1,244
P12,ma-ma.06.rtf,ma-ma,2,1,342
P13,ma-ma.06.rtf,ma-ma,2,1,83
P14,ma-ma.06.rtf,ma-ma,2,1,528
P15,ma-ma.06.rtf,ma-ma,2,1,244
P16,ma-ma.06.rtf,ma-ma,2,1,0
P17,ma-ma.06.rtf,ma-ma,2,1,141
P18,ma-ma.06.rtf,ma-ma,2,1,259
P19,ma-ma.06.rtf,ma-ma,2,1,97
P20,ma-ma.06.rtf,ma-ma,2,1,361
P21,ma-ma.06.rtf,ma-ma,2,1,415
P22,ma-ma.06.rtf,ma-ma,2,1,95
P23,ma-ma.06.rtf,ma-ma,2,1,0
P24,ma-ma.06.rtf,ma-ma,2,1,176
P25,ma-ma.06.rtf,ma-ma,2,1,503
P26,ma-ma.06.rtf,ma-ma,2,1,251
P27,ma-ma.06.rtf,ma-ma,2,1,327
P28,ma-ma.06.rtf,ma-ma,2,1,298
P29,ma-ma.06.rtf,ma-ma,2,1,136
P30,ma-ma.06.rtf,ma-ma,2,1,78
P31,ma-ma.06.rtf,ma-ma,2,1,327
P32,ma-ma.06.rtf,ma-ma,2,1,278
P33,ma-ma.06.rtf,ma-ma,2,1,332
P34,ma-ma.06.rtf,ma-ma,2,1,136
P35,ma-ma.06.rtf,ma-ma,2,1,200
P36,ma-ma.06.rtf,ma-ma,2,1,151
P37,ma-ma.06.rtf,ma-ma,2,1,268
P01,ma-ma.07.rtf,ma-ma,2,1,100
P02,ma-ma.07.rtf,ma-ma,2,1,0
P03,ma-ma.07.rtf,ma-ma,2,1,112
P04,ma-ma.07.rtf,ma-ma,2,1,0
P05,ma-ma.07.rtf,ma-ma,2,1,0
P06,ma-ma.07.rtf,ma-ma,2,1,405
P07,ma-ma.07.rtf,ma-ma,2,1,200
P08,ma-ma.07.rtf,ma-ma,2,1,259
