Stimulus,Participant,condition,semantic,RT
nma-ma.08.rtf,P12,nma-ma,2,1012.4
nma-ma.08.rtf,P13,nma-ma,2,132
nma-ma.08.rtf,P14,nma-ma,2,224.9
nma-ma.08.rtf,P15,nma-ma,2,83.1
nma-ma.02.rtf,P17,nma-ma,2,0
nma-ma.08.rtf,P17,nma-ma,2,102.7
nma-ma.02.rtf,P20,nma-ma,2,0
nma-ma.08.rtf,P18,nma-ma,2,273.9
nma-ma.08.rtf,P20,nma-ma,2,91
nma-ma.08.rtf,P22,nma-ma,2,151.2
nma-ma.08.rtf,P24,nma-ma,2,150.8
nma-ma.08.rtf,P26,nma-ma,2,453.1
nma-ma.02.rtf,P30,nma-ma,2,0
nma-ma.08.rtf,P28,nma-ma,2,166.2
nma-ma.08.rtf,P30,nma-ma,2,171.1
nma-ma.08.rtf,P32,nma-ma,2,180.9
nma-ma.02.rtf,P32,nma-ma,2,0
nma-ma.08.rtf,P36,nma-ma,2,180.9
nma-ma.09.rtf,P01,nma-ma,2,805.5
nma-ma.09.rtf,P03,nma-ma,2,469.3
nma-ma.09.rtf,P04,nma-ma,2,440.1
nma-ma.09.rtf,P05,nma-ma,2,249.5
nma-ma.09.rtf,P06,nma-ma,2,660
nma-ma.09.rtf,P08,nma-ma,2,132
nma-ma.09.rtf,P19,nma-ma,2,327.7
nma-ma.09.rtf,P21,nma-ma,2,332.9
nma-ma.02.rtf,P34,nma-ma,2,0
nma-ma.02.rtf,P36,nma-ma,2,0
nma-ma.03.rtf,P02,nma-ma,2,0
nma-ma.09.rtf,P25,nma-ma,2,135.9
nma-ma.09.rtf,P27,nma-ma,2,141.9
nma-ma.09.rtf,P31,nma-ma,2,586.9
nma-ma.03.rtf,P03,nma-ma,2,0
nma-ma.09.rtf,P33,nma-ma,2,166.3
nma-ma.03.rtf,P09,nma-ma,2,0
nma-ma.09.rtf,P35,nma-ma,2,181
nma-ma.09.rtf,P10,nma-ma,2,391.2
nma-ma.09.rtf,P11,nma-ma,2,405.8
nma-ma.09.rtf,P12,nma-ma,2,420.7
nma-ma.09.rtf,P13,nma-ma,2,440.1
nma-ma.09.rtf,P14,nma-ma,2,313.1
nma-ma.09.rtf,P15,nma-ma,2,293.5
nma-ma.09.rtf,P17,nma-ma,2,127.1
nma-ma.09.rtf,P18,nma-ma,2,122.3
nma-ma.09.rtf,P22,nma-ma,2,196.3
nma-ma.09.rtf,P24,nma-ma,2,609.1
nma-ma.09.rtf,P26,nma-ma,2,553.7
nma-ma.09.rtf,P28,nma-ma,2,259.1
nma-ma.03.rtf,P23,nma-ma,2,0
nma-ma.09.rtf,P32,nma-ma,2,229.8
nma-ma.09.rtf,P34,nma-ma,2,200.4
nma-ma.10.rtf,P01,nma-ma,2,689.6
nma-ma.03.rtf,P27,nma-ma,2,0
nma-ma.10.rtf,P02,nma-ma,2,141.8
nma-ma.10.rtf,P03,nma-ma,2,219.7
nma-ma.10.rtf,P05,nma-ma,2,239.6
nma-ma.10.rtf,P07,nma-ma,2,171.2
nma-ma.10.rtf,P08,nma-ma,2,439.9
nma-ma.10.rtf,P09,nma-ma,2,200.6
nma-ma.10.rtf,P19,nma-ma,2,234.7
nma-ma.03.rtf,P29,nma-ma,2,0
nma-ma.10.rtf,P21,nma-ma,2,826.7
nma-ma.03.rtf,P31,nma-ma,2,0
nma-ma.10.rtf,P23,nma-ma,2,307.1
nma-ma.10.rtf,P25,nma-ma,2,261.7
nma-ma.10.rtf,P31,nma-ma,2,1119.7
nma-ma.10.rtf,P33,nma-ma,2,180.9
nma-ma.10.rtf,P35,nma-ma,2,156.6
nma-ma.10.rtf,P37,nma-ma,2,97.8
nma-ma.10.rtf,P10,nma-ma,2,171.2
nma-ma.03.rtf,P35,nma-ma,2,0
