Participant,Stimulus,condition,parallel,semantic,RT
P04,ma-ma.06.rtf,ma-ma,2,1,63
P05,ma-ma.06.rtf,ma-ma,2,1,738
P06,ma-ma.06.rtf,ma-ma,2,1,132
P07,ma-ma.06.rtf,ma-ma,2,1,0
P08,ma-ma.06.rtf,ma-ma,2,1,0
P09,ma-ma.06.rtf,ma-ma,2,1,0
P10,ma-ma.06.rtf,ma-ma,2,1,0
P11,ma-ma.06.rtf,ma-ma,2,1,0
P12,ma-ma.06.rtf,ma-ma,2,1,0
P13,ma-ma.06.rtf,ma-ma,2,1,0
P14,ma-ma.06.rtf,ma-ma,2,1,1163
P15,ma-ma.06.rtf,ma-ma,2,1,0
P16,ma-ma.06.rtf,ma-ma,2,1,0
P17,ma-ma.06.rtf,ma-ma,2,1,0
P18,ma-ma.06.rtf,ma-ma,2,1,0
P19,ma-ma.06.rtf,ma-ma,2,1,557
P20,ma-ma.06.rtf,ma-ma,2,1,0
P21,ma-ma.06.rtf,ma-ma,2,1,0
P22,ma-ma.06.rtf,ma-ma,2,1,0
P23,ma-ma.06.rtf,ma-ma,2,1,0
P24,ma-ma.06.rtf,ma-ma,2,1,0
P25,ma-ma.06.rtf,ma-ma,2,1,679
P26,ma-ma.06.rtf,ma-ma,2,1,0
P27,ma-ma.06.rtf,ma-ma,2,1,528
P28,ma-ma.06.rtf,ma-ma,2,1,146
P29,ma-ma.06.rtf,ma-ma,2,1,352
P30,ma-ma.06.rtf,ma-ma,2,1,176
P31,ma-ma.06.rtf,ma-ma,2,1,215
P32,ma-ma.06.rtf,ma-ma,2,1,614
P33,ma-ma.06.rtf,ma-ma,2,1,0
P34,ma-ma.06.rtf,ma-ma,2,1,0
P35,ma-ma.06.rtf,ma-ma,2,1,0
P36,ma-ma.06.rtf,ma-ma,2,1,0
P37,ma-ma.06.rtf,ma-ma,2,1,0
P01,ma-ma.07.rtf,ma-ma,2,1,176
P02,ma-ma.07.rtf,ma-ma,2,1,0
P03,ma-ma.07.rtf,ma-ma,2,1,224
P04,ma-ma.07.rtf,ma-ma,2,1,0
P05,ma-ma.07.rtf,ma-ma,2,1,0
P06,ma-ma.07.rtf,ma-ma,2,1,0
P07,ma-ma.07.rtf,ma-ma,2,1,0
P08,ma-ma.07.rtf,ma-ma,2,1,0
P09,ma-ma.07.rtf,ma-ma,2,1,0
P10,ma-ma.07.rtf,ma-ma,2,1,0
P11,ma-ma.07.rtf,ma-ma,2,1,445
P12,ma-ma.07.rtf,ma-ma,2,1,0
P13,ma-ma.07.rtf,ma-ma,2,1,0
P14,ma-ma.07.rtf,ma-ma,2,1,523
P15,ma-ma.07.rtf,ma-ma,2,1,366
P16,ma-ma.07.rtf,ma-ma,2,1,381
P17,ma-ma.07.rtf,ma-ma,2,1,0
P18,ma-ma.07.rtf,ma-ma,2,1,327
P19,ma-ma.07.rtf,ma-ma,2,1,303
P20,ma-ma.07.rtf,ma-ma,2,1,0
P21,ma-ma.07.rtf,ma-ma,2,1,0
P23,ma-ma.07.rtf,ma-ma,2,1,0
P24,ma-ma.07.rtf,ma-ma,2,1,637
P25,ma-ma.07.rtf,ma-ma,2,1,0
P26,ma-ma.07.rtf,ma-ma,2,1,468
P27,ma-ma.07.rtf,ma-ma,2,1,0
P28,ma-ma.07.rtf,ma-ma,2,1,151
P29,ma-ma.07.rtf,ma-ma,2,1,166
P30,ma-ma.07.rtf,ma-ma,2,1,0
P31,ma-ma.07.rtf,ma-ma,2,1,0
P32,ma-ma.07.rtf,ma-ma,2,1,405
P33,ma-ma.07.rtf,ma-ma,2,1,0
P34,ma-ma.07.rtf,ma-ma,2,1,93
P35,ma-ma.07.rtf,ma-ma,2,1,0
P36,ma-ma.07.rtf,ma-ma,2,1,92
