item,subject,semantic,parallel,condition,RT
ma-ma.06,11,1,2,ma-ma,244
ma-ma.06,12,1,2,ma-ma,342
ma-ma.06,13,1,2,ma-ma,83
ma-ma.06,14,1,2,ma-ma,528
ma-ma.06,15,1,2,ma-ma,244
ma-ma.06,16,1,2,ma-ma,0
ma-ma.06,17,1,2,ma-ma,141
ma-ma.06,18,1,2,ma-ma,259
ma-ma.06,19,1,2,ma-ma,97
ma-ma.06,20,1,2,ma-ma,361
ma-ma.06,21,1,2,ma-ma,415
ma-ma.06,22,1,2,ma-ma,95
ma-ma.06,23,1,2,ma-ma,0
ma-ma.06,24,1,2,ma-ma,176
ma-ma.06,25,1,2,ma-ma,503
ma-ma.06,26,1,2,ma-ma,251
ma-ma.06,27,1,2,ma-ma,327
ma-ma.06,28,1,2,ma-ma,298
ma-ma.06,29,1,2,ma-ma,136
ma-ma.06,30,1,2,ma-ma,78
ma-ma.06,31,1,2,ma-ma,327
ma-ma.06,32,1,2,ma-ma,278
ma-ma.06,33,1,2,ma-ma,332
ma-ma.06,34,1,2,ma-ma,136
ma-ma.06,35,1,2,ma-ma,200
ma-ma.06,36,1,2,ma-ma,151
ma-ma.06,37,1,2,ma-ma,268
ma-ma.07,1,1,2,ma-ma,100
ma-ma.07,2,1,2,ma-ma,0
ma-ma.07,3,1,2,ma-ma,112
ma-ma.07,4,1,2,ma-ma,0
ma-ma.07,5,1,2,ma-ma,0
ma-ma.07,6,1,2,ma-ma,405
ma-ma.07,7,1,2,ma-ma,200
ma-ma.07,8,1,2,ma-ma,259
ma-ma.07,9,1,2,ma-ma,92
ma-ma.07,10,1,2,ma-ma,215
ma-ma.07,11,1,2,ma-ma,532.9
ma-ma.07,12,1,2,ma-ma,166
ma-ma.07,13,1,2,ma-ma,161
ma-ma.07,14,1,2,ma-ma,665
ma-ma.07,15,1,2,ma-ma,239
ma-ma.07,17,1,2,ma-ma,132
ma-ma.07,18,1,2,ma-ma,366
ma-ma.07,19,1,2,ma-ma,181
ma-ma.07,20,1,2,ma-ma,303
ma-ma.07,21,1,2,ma-ma,498
ma-ma.07,22,1,2,ma-ma,336
ma-ma.07,23,1,2,ma-ma,382
ma-ma.07,24,1,2,ma-ma,323
ma-ma.07,25,1,2,ma-ma,261
ma-ma.07,26,1,2,ma-ma,307
ma-ma.07,27,1,2,ma-ma,332
ma-ma.07,28,1,2,ma-ma,342
ma-ma.07,29,1,2,ma-ma,58
ma-ma.07,30,1,2,ma-ma,273
ma-ma.07,31,1,2,ma-ma,273
ma-ma.07,32,1,2,ma-ma,288
ma-ma.07,33,1,2,ma-ma,0
ma-ma.07,34,1,2,ma-ma,249
ma-ma.07,35,1,2,ma-ma,347
ma-ma.07,36,1,2,ma-ma,484
ma-ma.07,37,1,2,ma-ma,337
ma-ma.08,2,1,2,ma-ma,132
ma-ma.08,3,1,2,ma-ma,0
ma-ma.08,4,1,2,ma-ma,308
ma-ma.08,5,1,2,ma-ma,229
ma-ma.08,6,1,2,ma-ma,405
ma-ma.08,7,1,2,ma-ma,470
ma-ma.08,8,1,2,ma-ma,239
ma-ma.08,9,1,2,ma-ma,244
ma-ma.08,10,1,2,ma-ma,1026.8
ma-ma.08,11,1,2,ma-ma,523
ma-ma.08,12,1,2,ma-ma,313
ma-ma.08,13,1,2,ma-ma,127
ma-ma.08,14,1,2,ma-ma,88
ma-ma.08,15,1,2,ma-ma,352
ma-ma.08,16,1,2,ma-ma,1036
ma-ma.08,17,1,2,ma-ma,327
ma-ma.08,18,1,2,ma-ma,63
ma-ma.08,19,1,2,ma-ma,410
ma-ma.08,20,1,2,ma-ma,259
ma-ma.08,21,1,2,ma-ma,264
ma-ma.08,22,1,2,ma-ma,724
ma-ma.08,23,1,2,ma-ma,0
ma-ma.08,24,1,2,ma-ma,392
ma-ma.08,26,1,2,ma-ma,206
ma-ma.08,27,1,2,ma-ma,249
ma-ma.08,28,1,2,ma-ma,464
ma-ma.08,29,1,2,ma-ma,269
ma-ma.08,30,1,2,ma-ma,107
ma-ma.08,31,1,2,ma-ma,200
ma-ma.08,32,1,2,ma-ma,386
ma-ma.08,33,1,2,ma-ma,572
ma-ma.08,34,1,2,ma-ma,166
ma-ma.08,35,1,2,ma-ma,0
ma-ma.08,36,1,2,ma-ma,161
ma-ma.08,37,1,2,ma-ma,420
ma-ma.09,1,1,2,ma-ma,211
ma-ma.09,2,1,2,ma-ma,185
ma-ma.09,3,1,2,ma-ma,0
ma-ma.09,4,1,2,ma-ma,136
ma-ma.09,5,1,2,ma-ma,161
ma-ma.09,6,1,2,ma-ma,323
ma-ma.09,7,1,2,ma-ma,405
ma-ma.09,8,1,2,ma-ma,415
ma-ma.09,9,1,2,ma-ma,190
ma-ma.09,10,1,2,ma-ma,200
ma-ma.09,11,1,2,ma-ma,625
ma-ma.09,12,1,2,ma-ma,0
ma-ma.09,13,1,2,ma-ma,229
ma-ma.09,14,1,2,ma-ma,244
ma-ma.09,15,1,2,ma-ma,259
ma-ma.09,16,1,2,ma-ma,410
ma-ma.09,17,1,2,ma-ma,195
ma-ma.09,18,1,2,ma-ma,264
ma-ma.09,19,1,2,ma-ma,298
ma-ma.09,20,1,2,ma-ma,440
ma-ma.09,21,1,2,ma-ma,107
ma-ma.09,22,1,2,ma-ma,276
ma-ma.09,23,1,2,ma-ma,0
ma-ma.09,24,1,2,ma-ma,246
ma-ma.09,25,1,2,ma-ma,281
ma-ma.09,26,1,2,ma-ma,191
ma-ma.09,27,1,2,ma-ma,185
ma-ma.09,28,1,2,ma-ma,234
ma-ma.09,29,1,2,ma-ma,396
ma-ma.09,30,1,2,ma-ma,225
ma-ma.09,31,1,2,ma-ma,88
ma-ma.09,32,1,2,ma-ma,112
ma-ma.09,33,1,2,ma-ma,215
ma-ma.09,34,1,2,ma-ma,161
ma-ma.09,35,1,2,ma-ma,195
ma-ma.09,36,1,2,ma-ma,146
ma-ma.09,37,1,2,ma-ma,195
ma-ma.10,1,1,2,ma-ma,110
ma-ma.10,2,1,2,ma-ma,176
ma-ma.10,3,1,2,ma-ma,293.4
ma-ma.10,4,1,2,ma-ma,234
ma-ma.10,5,1,2,ma-ma,78
ma-ma.10,6,1,2,ma-ma,293
ma-ma.10,7,1,2,ma-ma,224
ma-ma.10,8,1,2,ma-ma,357
ma-ma.10,9,1,2,ma-ma,97
ma-ma.10,10,1,2,ma-ma,127
ma-ma.10,11,1,2,ma-ma,454
ma-ma.10,12,1,2,ma-ma,78
ma-ma.10,13,1,2,ma-ma,122
ma-ma.10,14,1,2,ma-ma,112
ma-ma.10,15,1,2,ma-ma,215
ma-ma.10,16,1,2,ma-ma,298
ma-ma.10,17,1,2,ma-ma,0
ma-ma.10,18,1,2,ma-ma,352
ma-ma.10,19,1,2,ma-ma,180
ma-ma.10,20,1,2,ma-ma,337
ma-ma.10,21,1,2,ma-ma,83
ma-ma.10,22,1,2,ma-ma,231
ma-ma.10,23,1,2,ma-ma,0
ma-ma.10,24,1,2,ma-ma,266
ma-ma.10,25,1,2,ma-ma,251
ma-ma.10,26,1,2,ma-ma,317
ma-ma.10,27,1,2,ma-ma,107
ma-ma.10,28,1,2,ma-ma,811
ma-ma.10,29,1,2,ma-ma,249
ma-ma.10,30,1,2,ma-ma,215
ma-ma.10,31,1,2,ma-ma,224
ma-ma.10,32,1,2,ma-ma,430
ma-ma.10,33,1,2,ma-ma,215
ma-ma.10,34,1,2,ma-ma,136
ma-ma.10,35,1,2,ma-ma,528
ma-ma.10,36,1,2,ma-ma,259
ma-ma.10,37,1,2,ma-ma,440
ma-ma.11,1,1,2,ma-ma,503.4
ma-ma.11,2,1,2,ma-ma,200
ma-ma.11,3,1,2,ma-ma,73
ma-ma.11,4,1,2,ma-ma,132
ma-ma.11,5,1,2,ma-ma,234
ma-ma.11,6,1,2,ma-ma,229
ma-ma.11,7,1,2,ma-ma,376
ma-ma.11,8,1,2,ma-ma,258
ma-ma.11,9,1,2,ma-ma,0
ma-ma.11,10,1,2,ma-ma,268
ma-ma.11,11,1,2,ma-ma,518
ma-ma.11,12,1,2,ma-ma,410
ma-ma.11,13,1,2,ma-ma,474
ma-ma.11,14,1,2,ma-ma,244
ma-ma.11,15,1,2,ma-ma,122
ma-ma.11,16,1,2,ma-ma,288
ma-ma.11,17,1,2,ma-ma,195
ma-ma.11,18,1,2,ma-ma,293
ma-ma.11,19,1,2,ma-ma,171
ma-ma.11,20,1,2,ma-ma,239
ma-ma.11,21,1,2,ma-ma,322
ma-ma.11,22,1,2,ma-ma,317
ma-ma.11,23,1,2,ma-ma,130
ma-ma.11,24,1,2,ma-ma,327
ma-ma.11,25,1,2,ma-ma,357
ma-ma.11,26,1,2,ma-ma,171
ma-ma.11,27,1,2,ma-ma,254
ma-ma.11,28,1,2,ma-ma,293
ma-ma.11,29,1,2,ma-ma,137
ma-ma.11,30,1,2,ma-ma,171
ma-ma.11,31,1,2,ma-ma,122
ma-ma.11,32,1,2,ma-ma,425
ma-ma.11,33,1,2,ma-ma,146
ma-ma.11,34,1,2,ma-ma,68
ma-ma.11,35,1,2,ma-ma,0
ma-ma.11,36,1,2,ma-ma,581
ma-ma.11,37,1,2,ma-ma,352
ma-ma.12,1,1,2,ma-ma,347
ma-ma.12,2,1,2,ma-ma,0
ma-ma.12,3,1,2,ma-ma,141
ma-ma.12,4,1,2,ma-ma,367
ma-ma.12,5,1,2,ma-ma,288
ma-ma.12,6,1,2,ma-ma,181
ma-ma.12,7,1,2,ma-ma,308
ma-ma.12,8,1,2,ma-ma,298
ma-ma.12,9,1,2,ma-ma,112
ma-ma.12,10,1,2,ma-ma,205
ma-ma.12,11,1,2,ma-ma,449
ma-ma.12,12,1,2,ma-ma,0
ma-ma.12,13,1,2,ma-ma,332
ma-ma.12,14,1,2,ma-ma,483
ma-ma.12,15,1,2,ma-ma,264
ma-ma.12,16,1,2,ma-ma,205
ma-ma.12,17,1,2,ma-ma,0
ma-ma.12,18,1,2,ma-ma,464
ma-ma.12,19,1,2,ma-ma,102
ma-ma.12,20,1,2,ma-ma,0
