Participant,Stimulus,condition,semantic,RT
P24,ma-ma.06.rtf,ma-ma,1,0
P25,ma-ma.06.rtf,ma-ma,1,735
P26,ma-ma.06.rtf,ma-ma,1,307
P27,ma-ma.06.rtf,ma-ma,1,298
P28,ma-ma.06.rtf,ma-ma,1,249
P29,ma-ma.06.rtf,ma-ma,1,454
P30,ma-ma.06.rtf,ma-ma,1,928
P31,ma-ma.06.rtf,ma-ma,1,0
P32,ma-ma.06.rtf,ma-ma,1,0
P33,ma-ma.06.rtf,ma-ma,1,0
P34,ma-ma.06.rtf,ma-ma,1,0
P35,ma-ma.06.rtf,ma-ma,1,0
P36,ma-ma.06.rtf,ma-ma,1,0
P37,ma-ma.06.rtf,ma-ma,1,816
P02,ma-ma.07.rtf,ma-ma,1,0
P03,ma-ma.07.rtf,ma-ma,1,0
P04,ma-ma.07.rtf,ma-ma,1,0
P05,ma-ma.07.rtf,ma-ma,1,0
P06,ma-ma.07.rtf,ma-ma,1,630
P07,ma-ma.07.rtf,ma-ma,1,0
P08,ma-ma.07.rtf,ma-ma,1,0
P09,ma-ma.07.rtf,ma-ma,1,0
P10,ma-ma.07.rtf,ma-ma,1,0
P11,ma-ma.07.rtf,ma-ma,1,195
P12,ma-ma.07.rtf,ma-ma,1,0
P13,ma-ma.07.rtf,ma-ma,1,185
P14,ma-ma.07.rtf,ma-ma,1,0
P15,ma-ma.07.rtf,ma-ma,1,483
P16,ma-ma.07.rtf,ma-ma,1,0
P17,ma-ma.07.rtf,ma-ma,1,0
P18,ma-ma.07.rtf,ma-ma,1,577
P19,ma-ma.07.rtf,ma-ma,1,220
P20,ma-ma.07.rtf,ma-ma,1,0
P21,ma-ma.07.rtf,ma-ma,1,352
P22,ma-ma.07.rtf,ma-ma,1,50
P23,ma-ma.07.rtf,ma-ma,1,0
P24,ma-ma.07.rtf,ma-ma,1,0
P25,ma-ma.07.rtf,ma-ma,1,256
P26,ma-ma.07.rtf,ma-ma,1,407
