subjects,items,condition,parallel,semantic,RT
P37,ma-ma.11.rtf,ma-ma,2,1,1173.5
P01,ma-ma.12.rtf,ma-ma,2,1,1837.5
P02,ma-ma.12.rtf,ma-ma,2,1,1321.1
P03,ma-ma.12.rtf,ma-ma,2,1,528.3
P04,ma-ma.12.rtf,ma-ma,2,1,1336.2
P05,ma-ma.12.rtf,ma-ma,2,1,2318.8
P06,ma-ma.12.rtf,ma-ma,2,1,2201.4
P07,ma-ma.12.rtf,ma-ma,2,1,1608.9
P08,ma-ma.12.rtf,ma-ma,2,1,2113.1
P09,ma-ma.12.rtf,ma-ma,2,1,1646.8
P10,ma-ma.12.rtf,ma-ma,2,1,1178.6
P12,ma-ma.12.rtf,ma-ma,2,1,1780.7
P16,ma-ma.12.rtf,ma-ma,2,1,958.5
P18,ma-ma.12.rtf,ma-ma,2,1,2049.3
P19,ma-ma.12.rtf,ma-ma,2,1,1448.8
P21,ma-ma.12.rtf,ma-ma,2,1,1746
P22,ma-ma.12.rtf,ma-ma,2,1,1566.8
P23,ma-ma.12.rtf,ma-ma,2,1,1607.1
P26,ma-ma.12.rtf,ma-ma,2,1,1374.1
P27,ma-ma.12.rtf,ma-ma,2,1,1520.9
P30,ma-ma.12.rtf,ma-ma,2,1,2037.1
P31,ma-ma.12.rtf,ma-ma,2,1,1673.1
P33,ma-ma.12.rtf,ma-ma,2,1,1897.2
P34,ma-ma.12.rtf,ma-ma,2,1,856.3
P35,ma-ma.12.rtf,ma-ma,2,1,821.7
P37,ma-ma.12.rtf,ma-ma,2,1,1232.1
P01,ma-nma.01.rtf,ma-nma,1,2,1580.2
P02,ma-nma.01.rtf,ma-nma,1,2,1041.2
P03,ma-nma.01.rtf,ma-nma,1,2,239.6
P04,ma-nma.01.rtf,ma-nma,1,2,645.5
P05,ma-nma.01.rtf,ma-nma,1,2,733.6
P06,ma-nma.01.rtf,ma-nma,1,2,3257.1
P07,ma-nma.01.rtf,ma-nma,1,2,2283.1
P08,ma-nma.01.rtf,ma-nma,1,2,1295.8
P09,ma-nma.01.rtf,ma-nma,1,2,440
P10,ma-nma.01.rtf,ma-nma,1,2,1134.4
P11,ma-nma.01.rtf,ma-nma,1,2,1554.7
P12,ma-nma.01.rtf,ma-nma,1,2,1496.5
P13,ma-nma.01.rtf,ma-nma,1,2,1297.8
P14,ma-nma.01.rtf,ma-nma,1,2,2586.9
P15,ma-nma.01.rtf,ma-nma,1,2,2166.4
P16,ma-nma.01.rtf,ma-nma,1,2,811.6
P17,ma-nma.01.rtf,ma-nma,1,2,733.5
P18,ma-nma.01.rtf,ma-nma,1,2,1022.1
P19,ma-nma.01.rtf,ma-nma,1,2,1653.3
P20,ma-nma.01.rtf,ma-nma,1,2,694.5
P21,ma-nma.01.rtf,ma-nma,1,2,1986
P22,ma-nma.01.rtf,ma-nma,1,2,931.3
P23,ma-nma.01.rtf,ma-nma,1,2,3241.9
P24,ma-nma.01.rtf,ma-nma,1,2,1047.2
P25,ma-nma.01.rtf,ma-nma,1,2,2019.2
P26,ma-nma.01.rtf,ma-nma,1,2,941.3
P27,ma-nma.01.rtf,ma-nma,1,2,1046.3
P28,ma-nma.01.rtf,ma-nma,1,2,1324.8
P29,ma-nma.01.rtf,ma-nma,1,2,581.9
P30,ma-nma.01.rtf,ma-nma,1,2,1281.1
P31,ma-nma.01.rtf,ma-nma,1,2,1452
P32,ma-nma.01.rtf,ma-nma,1,2,1814.3
P33,ma-nma.01.rtf,ma-nma,1,2,948.6
P34,ma-nma.01.rtf,ma-nma,1,2,768.1
P35,ma-nma.01.rtf,ma-nma,1,2,1966.2
P36,ma-nma.01.rtf,ma-nma,1,2,425.5
