subjects,items,condition,parallel,semantic,RT
P20,ma-ma.05.rtf,ma-ma,2,1,1740
P36,ma-ma.05.rtf,ma-ma,2,1,1711
P15,ma-ma.05.rtf,ma-ma,2,1,1604
P11,ma-ma.05.rtf,ma-ma,2,1,1589
P35,ma-ma.05.rtf,ma-ma,2,1,1569
P37,ma-ma.05.rtf,ma-ma,2,1,1555
P04,ma-ma.05.rtf,ma-ma,2,1,1535
P10,ma-ma.05.rtf,ma-ma,2,1,1295
P01,ma-ma.05.rtf,ma-ma,2,1,1287
P31,ma-ma.05.rtf,ma-ma,2,1,1124
P09,ma-ma.05.rtf,ma-ma,2,1,1096
P22,ma-ma.05.rtf,ma-ma,2,1,1067
P32,ma-ma.05.rtf,ma-ma,2,1,1022
P29,ma-ma.05.rtf,ma-ma,2,1,914
P05,ma-ma.05.rtf,ma-ma,2,1,905
P07,ma-ma.05.rtf,ma-ma,2,1,870
P33,ma-ma.05.rtf,ma-ma,2,1,865
P26,ma-ma.05.rtf,ma-ma,2,1,856
P02,ma-ma.05.rtf,ma-ma,2,1,850
P13,ma-ma.05.rtf,ma-ma,2,1,845
P24,ma-ma.05.rtf,ma-ma,2,1,730
P08,ma-ma.05.rtf,ma-ma,2,1,655
P19,ma-ma.05.rtf,ma-ma,2,1,630
P27,ma-ma.05.rtf,ma-ma,2,1,606
P28,ma-ma.05.rtf,ma-ma,2,1,586
P12,ma-ma.05.rtf,ma-ma,2,1,410
P06,ma-ma.05.rtf,ma-ma,2,1,357
P14,ma-ma.05.rtf,ma-ma,2,1,313
P23,ma-ma.05.rtf,ma-ma,2,1,271
P03,ma-ma.05.rtf,ma-ma,2,1,264
P30,ma-ma.05.rtf,ma-ma,2,1,180
P25,ma-ma.06.rtf,ma-ma,2,1,2270
P08,ma-ma.06.rtf,ma-ma,2,1,1682
P37,ma-ma.06.rtf,ma-ma,2,1,1466
P04,ma-ma.06.rtf,ma-ma,2,1,1198
P06,ma-ma.06.rtf,ma-ma,2,1,1139
P33,ma-ma.06.rtf,ma-ma,2,1,1114
P31,ma-ma.06.rtf,ma-ma,2,1,1095
P35,ma-ma.06.rtf,ma-ma,2,1,1027
P19,ma-ma.06.rtf,ma-ma,2,1,870
P27,ma-ma.06.rtf,ma-ma,2,1,855
P09,ma-ma.06.rtf,ma-ma,2,1,841
P05,ma-ma.06.rtf,ma-ma,2,1,762
P07,ma-ma.06.rtf,ma-ma,2,1,718
P21,ma-ma.06.rtf,ma-ma,2,1,683
P01,ma-ma.06.rtf,ma-ma,2,1,644
P02,ma-ma.06.rtf,ma-ma,2,1,572
P29,ma-ma.06.rtf,ma-ma,2,1,259
P23,ma-ma.06.rtf,ma-ma,2,1,60
P14,ma-ma.07.rtf,ma-ma,2,1,2665
P26,ma-ma.07.rtf,ma-ma,2,1,2647
P32,ma-ma.07.rtf,ma-ma,2,1,2459
P16,ma-ma.07.rtf,ma-ma,2,1,2248
P06,ma-ma.07.rtf,ma-ma,2,1,2229
P11,ma-ma.07.rtf,ma-ma,2,1,2014
P02,ma-ma.07.rtf,ma-ma,2,1,1760
P12,ma-ma.07.rtf,ma-ma,2,1,1721
P04,ma-ma.07.rtf,ma-ma,2,1,1608
P23,ma-ma.07.rtf,ma-ma,2,1,1590
P34,ma-ma.07.rtf,ma-ma,2,1,1589
P18,ma-ma.07.rtf,ma-ma,2,1,1545
P36,ma-ma.07.rtf,ma-ma,2,1,1510
P15,ma-ma.07.rtf,ma-ma,2,1,1452
P24,ma-ma.07.rtf,ma-ma,2,1,1450
P08,ma-ma.07.rtf,ma-ma,2,1,1335
P22,ma-ma.07.rtf,ma-ma,2,1,1293
P21,ma-ma.07.rtf,ma-ma,2,1,1291
P20,ma-ma.07.rtf,ma-ma,2,1,1217
P37,ma-ma.07.rtf,ma-ma,2,1,919
P31,ma-ma.07.rtf,ma-ma,2,1,918
P29,ma-ma.07.rtf,ma-ma,2,1,900
P05,ma-ma.07.rtf,ma-ma,2,1,880
P10,ma-ma.07.rtf,ma-ma,2,1,870
P27,ma-ma.07.rtf,ma-ma,2,1,855
P17,ma-ma.07.rtf,ma-ma,2,1,777
P33,ma-ma.07.rtf,ma-ma,2,1,753
P28,ma-ma.07.rtf,ma-ma,2,1,709
P25,ma-ma.07.rtf,ma-ma,2,1,689
P13,ma-ma.07.rtf,ma-ma,2,1,674
P03,ma-ma.07.rtf,ma-ma,2,1,670
P01,ma-ma.07.rtf,ma-ma,2,1,664
P07,ma-ma.07.rtf,ma-ma,2,1,415
P35,ma-ma.07.rtf,ma-ma,2,1,410
P09,ma-ma.07.rtf,ma-ma,2,1,244
P30,ma-ma.07.rtf,ma-ma,2,1,210
P19,ma-ma.07.rtf,ma-ma,2,1,166
P32,ma-ma.08.rtf,ma-ma,2,1,2704
P06,ma-ma.08.rtf,ma-ma,2,1,2684
P01,ma-ma.08.rtf,ma-ma,2,1,2425
P25,ma-ma.08.rtf,ma-ma,2,1,2355
P22,ma-ma.08.rtf,ma-ma,2,1,2099
P23,ma-ma.08.rtf,ma-ma,2,1,2030
P27,ma-ma.08.rtf,ma-ma,2,1,1916
P16,ma-ma.08.rtf,ma-ma,2,1,1784
P08,ma-ma.08.rtf,ma-ma,2,1,1628
P33,ma-ma.08.rtf,ma-ma,2,1,1603
P10,ma-ma.08.rtf,ma-ma,2,1,1579
P24,ma-ma.08.rtf,ma-ma,2,1,1510
P15,ma-ma.08.rtf,ma-ma,2,1,1496
P31,ma-ma.08.rtf,ma-ma,2,1,1408
P34,ma-ma.08.rtf,ma-ma,2,1,1290
P11,ma-ma.08.rtf,ma-ma,2,1,1286
P28,ma-ma.08.rtf,ma-ma,2,1,1251
P07,ma-ma.08.rtf,ma-ma,2,1,1116
P17,ma-ma.08.rtf,ma-ma,2,1,1090
P04,ma-ma.08.rtf,ma-ma,2,1,1081
P21,ma-ma.08.rtf,ma-ma,2,1,1036
P29,ma-ma.08.rtf,ma-ma,2,1,997
P36,ma-ma.08.rtf,ma-ma,2,1,968
P19,ma-ma.08.rtf,ma-ma,2,1,934
P20,ma-ma.08.rtf,ma-ma,2,1,844
P05,ma-ma.08.rtf,ma-ma,2,1,807
P26,ma-ma.08.rtf,ma-ma,2,1,801
P12,ma-ma.08.rtf,ma-ma,2,1,792
P13,ma-ma.08.rtf,ma-ma,2,1,762
P35,ma-ma.08.rtf,ma-ma,2,1,753
P02,ma-ma.08.rtf,ma-ma,2,1,581
P09,ma-ma.08.rtf,ma-ma,2,1,552
P37,ma-ma.08.rtf,ma-ma,2,1,357
P14,ma-ma.08.rtf,ma-ma,2,1,180
P30,ma-ma.08.rtf,ma-ma,2,1,170
P18,ma-ma.08.rtf,ma-ma,2,1,161
P03,ma-ma.08.rtf,ma-ma,2,1,58
P23,ma-ma.09.rtf,ma-ma,2,1,1953
P27,ma-ma.09.rtf,ma-ma,2,1,1946
P14,ma-ma.09.rtf,ma-ma,2,1,1935
P06,ma-ma.09.rtf,ma-ma,2,1,1780
P12,ma-ma.09.rtf,ma-ma,2,1,1706
P18,ma-ma.09.rtf,ma-ma,2,1,1706
P08,ma-ma.09.rtf,ma-ma,2,1,1599
P29,ma-ma.09.rtf,ma-ma,2,1,1545
